business_name,rating,review_count,address,phone,website,categories,price_range,business_hours,yelp_url
Da Andrea - Greenwich Village,4.4,2.6000,35 W 13th St,(212) 367-1979,https://www.daandreanyc.com/menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/da-andrea-greenwich-village-new-york-2
Valerie,4.3,1.2000,45 W 45th St between 5th & 6th Ave,(212) 302-4545,https://www.valerienewyorkcity.com/menus/,N/A,N/A,Mon 11:30 AM - 12:00 AM (Next day); Tue 11:30 AM - 2:00 AM (Next day); Wed 11:30 AM - 2:00 AM (Next day) Open now; Thu 11:30 AM - 2:00 AM (Next day); Fri 11:30 AM - 2:00 AM (Next day); Sat 11:00 AM - 2:00 AM (Next day); Sun 11:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/valerie-new-york
La Grande Boucherie,4.4,4.1000,145 W 53rd St,(212) 510-7714,https://www.boucherieus.com/la-grande-boucherie-menus/,N/A,N/A,Mon 8:00 AM - 12:00 AM (Next day); Tue 8:00 AM - 12:00 AM (Next day); Wed 8:00 AM - 12:00 AM (Next day) Open now; Thu 8:00 AM - 12:00 AM (Next day); Fri 8:00 AM - 12:00 AM (Next day); Sat 9:00 AM - 12:00 AM (Next day); Sun 9:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/la-grande-boucherie-new-york-2
Olio e Più,4.5,6.8000,3 Greenwich Ave,(212) 243-6546,https://www.olioepiu.com/nyc-menu/,N/A,N/A,Mon 11:00 AM - 12:00 AM (Next day); Tue 11:00 AM - 12:00 AM (Next day); Wed 11:00 AM - 12:00 AM (Next day) Open now; Thu 11:00 AM - 12:00 AM (Next day); Fri 11:00 AM - 12:00 AM (Next day); Sat 10:00 AM - 12:00 AM (Next day); Sun 10:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7
Rubirosa,4.3,3.6000,235 Mulberry St,(212) 965-0500,https://www.rubirosanyc.com/menus/,N/A,N/A,Mon 11:00 AM - 11:00 PM; Tue 11:00 AM - 11:00 PM; Wed 11:00 AM - 11:00 PM Open now; Thu 11:00 AM - 11:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 11:00 PM,https://www.yelp.com/biz/rubirosa-new-york-2
Juliana's,4.4,2.9000,19 Old Fulton St,(718) 596-6700,https://julianaspizza.com/menus/,N/A,N/A,Mon 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Tue 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Wed 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM Open now; Thu 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Fri 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Sat 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM; Sun 11:30 AM - 3:15 PM 4:00 PM - 9:00 PM,https://www.yelp.com/biz/julianas-brooklyn-3
Elephant District,4.7,113,9 Old Fulton St,(845) 314-3606,http://www.elephantdistrict.com,N/A,N/A,Mon 11:00 AM - 10:00 PM; Tue 11:00 AM - 10:00 PM; Wed 11:00 AM - 10:00 PM Open now; Thu 11:00 AM - 10:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/elephant-district-brooklyn
Elephant District,4.7,113,9 Old Fulton St,(845) 314-3606,http://www.elephantdistrict.com,N/A,N/A,Mon 11:00 AM - 10:00 PM; Tue 11:00 AM - 10:00 PM; Wed 11:00 AM - 10:00 PM Open now; Thu 11:00 AM - 10:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/-_J1rWztwR5fXFSqC6yPDg
Raku,4.5,1.1000,48 Macdougal St,(212) 989-4797,https://rakunyc.com/pages/menu-soho,N/A,N/A,Mon 5:00 PM - 9:30 PM; Tue 12:00 PM - 9:30 PM; Wed 12:00 PM - 9:30 PM Closed now; Thu 12:00 PM - 9:30 PM; Fri 12:00 PM - 10:00 PM; Sat 12:00 PM - 10:00 PM; Sun 12:00 PM - 9:30 PM,https://www.yelp.com/biz/raku-new-york-6
Blue Willow 夜来湘,4.4,1.4000,40 W 56th St,(212) 213-2299,https://www.bluewillownyc.com/food-menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 10:00 PM; Sat 12:00 PM - 10:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2
Blue Willow 夜来湘,4.4,1.4000,40 W 56th St,(212) 213-2299,https://www.bluewillownyc.com/food-menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 10:00 PM; Sat 12:00 PM - 10:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/XsXLVWr1UZWVhKThNvNiaA
Carne Mare,4.3,340,89 South St,(212) 280-4600,https://www.carnemare.com/menus/,N/A,N/A,Mon 12:00 PM - 2:30 PM 5:00 PM - 10:00 PM; Tue 12:00 PM - 2:30 PM 5:00 PM - 10:00 PM; Wed 12:00 PM - 2:30 PM 5:00 PM - 10:00 PM Closed now; Thu 12:00 PM - 2:30 PM 5:00 PM - 10:00 PM; Fri 12:00 PM - 2:30 PM 5:00 PM - 10:00 PM; Sat 11:30 AM - 3:00 PM 5:00 PM - 10:00 PM; Sun 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM,https://www.yelp.com/biz/carne-mare-new-york-5
Tanner Smiths,4.3,2.3000,204 W 55th St,(646) 590-2034,http://www.tannersmiths.com/menus,N/A,N/A,Mon 2:00 PM - 2:00 AM (Next day); Tue 2:00 PM - 2:00 AM (Next day); Wed 12:00 PM - 3:00 AM (Next day) Closed now; Thu 12:00 PM - 3:00 AM (Next day); Fri 12:00 PM - 3:00 AM (Next day); Sat 10:30 AM - 3:00 AM (Next day); Sun 10:30 AM - 2:00 AM (Next day),https://www.yelp.com/biz/tanner-smiths-new-york-2
LoveMama,4.4,7000,174 2nd Ave,(212) 254-5370,http://lovemamanyc2.com,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 10:00 PM; Sat 11:30 AM - 10:00 PM; Sun 11:30 AM - 10:00 PM,https://www.yelp.com/biz/lovemama-new-york
Dutch Freds,4.5,2.2000,307 W 47th St,(646) 918-6923,http://www.dutchfreds.com/menus,N/A,N/A,Mon 4:00 PM - 2:00 AM (Next day); Tue 4:00 PM - 2:00 AM (Next day); Wed 12:00 PM - 2:00 AM (Next day) Closed now; Thu 12:00 PM - 3:00 AM (Next day); Fri 12:00 PM - 3:00 AM (Next day); Sat 11:00 AM - 3:00 AM (Next day); Sun 11:00 AM - 2:00 AM (Next day),https://www.yelp.com/biz/dutch-freds-new-york-2
Obao,4,4.4000,647 9th Ave,(212) 245-8880,https://www.obaony.com/menu-hk,N/A,N/A,Mon 11:30 AM - 10:30 PM; Tue 11:30 AM - 10:30 PM; Wed 11:30 AM - 10:30 PM Open now; Thu 11:30 AM - 10:30 PM; Fri 11:30 AM - 11:30 PM; Sat 11:30 AM - 11:30 PM; Sun 11:30 AM - 10:30 PM,https://www.yelp.com/biz/obao-new-york-3
Los Tacos No.1,4.7,3.4000,229 W 43rd St,(212) 574-4696,https://www.lostacos1.com/menu/,N/A,N/A,Mon 11:00 AM - 11:00 PM; Tue 11:00 AM - 11:00 PM; Wed 11:00 AM - 11:00 PM Open now; Thu 11:00 AM - 11:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 9:00 PM,https://www.yelp.com/biz/los-tacos-no-1-new-york-3
Thai Villa,4.4,5.2000,5 E 19th St,(212) 802-9999,http://www.thaivillanyc.com,N/A,N/A,Mon 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM; Tue 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM; Wed 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM Open now; Thu 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM; Fri 11:30 AM - 3:15 PM 4:30 PM - 10:30 PM; Sat 11:30 AM - 3:15 PM 4:30 PM - 10:30 PM; Sun 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM,https://www.yelp.com/biz/thai-villa-new-york-2
Cocoron & Goemon Curry,4.2,1.1000,16 Delancey St,(212) 477-1212,https://www.cocoronandgoemon.com/takeout-delivery,N/A,N/A,Mon 12:00 PM - 3:15 PM 5:00 PM - 10:00 PM; Tue 12:00 PM - 3:15 PM 5:00 PM - 10:00 PM; Wed 12:00 PM - 3:15 PM 5:00 PM - 10:00 PM Open now; Thu 12:00 PM - 3:15 PM 5:00 PM - 10:00 PM; Fri 12:00 PM - 3:15 PM 5:00 PM - 10:00 PM; Sat 12:00 PM - 3:15 PM 5:00 PM - 10:00 PM; Sun 12:00 PM - 3:15 PM 5:00 PM - 10:00 PM,https://www.yelp.com/biz/cocoron-and-goemon-curry-new-york-2
Osteria 57,4.3,378,453 6th Ave,(212) 777-0057,https://osteria57.com/all-menu/,N/A,N/A,Mon 5:00 PM - 10:00 PM; Tue 5:00 PM - 10:00 PM; Wed 5:00 PM - 10:00 PM Closed now; Thu 5:00 PM - 10:00 PM; Fri 5:00 PM - 10:30 PM; Sat 5:00 PM - 10:30 PM; Sun 5:00 PM - 10:00 PM,https://www.yelp.com/biz/osteria-57-new-york
Dig Inn - 8th Ave,4.1,260,856 8th Ave,(212) 335-2106,https://www.diginn.com/?utm_campaign=DIG_2020_BRANDING&utm_source=yelp&utm_medium=enahncedprofile&utm_term=d15,N/A,N/A,Mon 11:00 AM - 10:00 PM; Tue 11:00 AM - 10:00 PM; Wed 11:00 AM - 10:00 PM Open now; Thu 11:00 AM - 10:00 PM; Fri 11:00 AM - 10:00 PM; Sat 11:00 AM - 10:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/dig-new-york-22
DIG,3.9,400,2884 Broadway,(212) 776-4047,https://www.diginn.com,N/A,N/A,Mon 10:30 AM - 10:00 PM; Tue 10:30 AM - 10:00 PM; Wed 10:30 AM - 10:00 PM Open now; Thu 10:30 AM - 10:00 PM; Fri 10:30 AM - 10:00 PM; Sat 11:00 AM - 10:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/dig-new-york-14
Dig Inn,4,227,1297 Lexington Ave,(212) 253-6176,https://www.diginn.com/?utm_campaign=DIG_2020_BRANDING&utm_source=yelp&utm_medium=enhancedprofiles&utm_term=d13,N/A,N/A,Mon 10:30 AM - 10:00 PM; Tue 10:30 AM - 10:00 PM; Wed 10:30 AM - 10:00 PM Open now; Thu 10:30 AM - 10:00 PM; Fri 10:30 AM - 10:00 PM; Sat 11:00 AM - 10:00 PM; Sun 11:00 AM - 10:00 PM,https://www.yelp.com/biz/dig-new-york-25
Izakaya MEW,4.3,3.2000,53 W 35th St,(646) 368-9384,http://mewnyc.com,N/A,N/A,Mon 12:00 PM - 2:15 PM 5:00 PM - 9:30 PM; Tue 12:00 PM - 2:15 PM 5:00 PM - 9:30 PM; Wed 12:00 PM - 2:15 PM 5:00 PM - 9:30 PM Open now; Thu 12:00 PM - 2:15 PM 5:00 PM - 9:30 PM; Fri 12:00 PM - 2:15 PM 5:00 PM - 10:30 PM; Sat 12:00 PM - 2:15 PM 4:30 PM - 10:30 PM; Sun 12:00 PM - 2:15 PM 4:30 PM - 9:30 PM,https://www.yelp.com/biz/izakaya-mew-new-york-3
Binondo by Kabisera,4.8,13,50 E Broadway,(646) 398-8566,https://www.binondonyc.com/menu,N/A,N/A,Mon Closed; Tue Closed; Wed 11:00 AM - 11:00 PM Open now; Thu 11:00 AM - 11:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 11:00 PM,https://www.yelp.com/biz/binondo-by-kabisera-new-york
Odd Sister,4.3,97,45 Mercer St,(212) 966-9288,https://oddsisternyc.com,N/A,N/A,Mon 11:00 AM - 12:00 AM (Next day); Tue 11:00 AM - 12:00 AM (Next day); Wed 11:00 AM - 12:00 AM (Next day) Open now; Thu 11:00 AM - 1:00 AM (Next day); Fri 10:00 AM - 1:00 AM (Next day); Sat 10:00 AM - 1:00 AM (Next day); Sun 10:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/odd-sister-new-york-2
Odd Sister,4.3,97,45 Mercer St,(212) 966-9288,https://oddsisternyc.com,N/A,N/A,Mon 11:00 AM - 12:00 AM (Next day); Tue 11:00 AM - 12:00 AM (Next day); Wed 11:00 AM - 12:00 AM (Next day) Open now; Thu 11:00 AM - 1:00 AM (Next day); Fri 10:00 AM - 1:00 AM (Next day); Sat 10:00 AM - 1:00 AM (Next day); Sun 10:00 AM - 12:00 AM (Next day),https://www.yelp.com/biz/FTgaIRluLuqHcJ_bA_Pudw
Obao,4,4.4000,647 9th Ave,(212) 245-8880,https://www.obaony.com/menu-hk,N/A,N/A,Mon 11:30 AM - 10:30 PM; Tue 11:30 AM - 10:30 PM; Wed 11:30 AM - 10:30 PM Open now; Thu 11:30 AM - 10:30 PM; Fri 11:30 AM - 11:30 PM; Sat 11:30 AM - 11:30 PM; Sun 11:30 AM - 10:30 PM,https://www.yelp.com/biz/NN3mOWF5e_pnR1ArqM2bHQ
Fish Cheeks,4.4,1.8000,55 Bond St,(212) 677-2223,https://www.fishcheeksnyc.com/menus/,N/A,N/A,Mon 12:00 PM - 10:00 PM; Tue 12:00 PM - 10:00 PM; Wed 12:00 PM - 10:00 PM Open now; Thu 12:00 PM - 10:00 PM; Fri 12:00 PM - 11:00 PM; Sat 12:00 PM - 11:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/fish-cheeks-new-york
Fish Cheeks,4.4,1.8000,55 Bond St,(212) 677-2223,https://www.fishcheeksnyc.com/menus/,N/A,N/A,Mon 12:00 PM - 10:00 PM; Tue 12:00 PM - 10:00 PM; Wed 12:00 PM - 10:00 PM Open now; Thu 12:00 PM - 10:00 PM; Fri 12:00 PM - 11:00 PM; Sat 12:00 PM - 11:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/WJS06XxRdc6DD1s4LWE9HA
L&B Spumoni Gardens,4.1,59,46 Old Fulton St,(718) 596-4646,https://spumonigardens.com/menus-dumbo/in-house-dumbo/,N/A,N/A,Mon 11:00 AM - 9:00 PM; Tue 11:00 AM - 9:00 PM; Wed 11:00 AM - 9:00 PM Open now; Thu 11:00 AM - 9:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 9:00 PM,https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn-5
L&B Spumoni Gardens,4.1,59,46 Old Fulton St,(718) 596-4646,https://spumonigardens.com/menus-dumbo/in-house-dumbo/,N/A,N/A,Mon 11:00 AM - 9:00 PM; Tue 11:00 AM - 9:00 PM; Wed 11:00 AM - 9:00 PM Open now; Thu 11:00 AM - 9:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 9:00 PM,https://www.yelp.com/biz/YoaxZHPgMPb9O5_hRV6VQw
Little Collins,4.4,1.3000,708 3rd Ave,(212) 308-1969,http://www.littlecollinsnyc.com/#menu-section,N/A,N/A,Mon 7:00 AM - 6:00 PM; Tue 7:00 AM - 8:00 PM; Wed 7:00 AM - 8:00 PM Open now; Thu 7:00 AM - 8:00 PM; Fri 7:00 AM - 8:00 PM; Sat 7:30 AM - 6:00 PM; Sun 7:30 AM - 6:00 PM,https://www.yelp.com/biz/little-collins-new-york-3
Little Collins,4.4,1.3000,708 3rd Ave,(212) 308-1969,http://www.littlecollinsnyc.com/#menu-section,N/A,N/A,Mon 7:00 AM - 6:00 PM; Tue 7:00 AM - 8:00 PM; Wed 7:00 AM - 8:00 PM Open now; Thu 7:00 AM - 8:00 PM; Fri 7:00 AM - 8:00 PM; Sat 7:30 AM - 6:00 PM; Sun 7:30 AM - 6:00 PM,https://www.yelp.com/biz/1aD88qNRb08LGBkl84GQTA
Joe's Shanghai,3.8,7.6000,46 Bowery St,(212) 233-8888,https://www.joeshanghairestaurants.com/about-1,N/A,N/A,Mon 11:00 AM - 11:00 PM; Tue 11:00 AM - 11:00 PM; Wed 11:00 AM - 11:00 PM Open now; Thu 11:00 AM - 11:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 11:00 PM,https://www.yelp.com/biz/joes-shanghai-new-york-2
Joe's Shanghai,3.8,7.6000,46 Bowery St,(212) 233-8888,https://www.joeshanghairestaurants.com/about-1,N/A,N/A,Mon 11:00 AM - 11:00 PM; Tue 11:00 AM - 11:00 PM; Wed 11:00 AM - 11:00 PM Open now; Thu 11:00 AM - 11:00 PM; Fri 11:00 AM - 11:00 PM; Sat 11:00 AM - 11:00 PM; Sun 11:00 AM - 11:00 PM,https://www.yelp.com/biz/0CjK3esfpFcxIopebzjFxA
Pig and Khao,4.5,41,433 Amsterdam Ave,(646) 370-1430,https://www.pigandkhao.com/uwsmenu,N/A,N/A,Mon 4:00 PM - 9:00 PM; Tue 4:00 PM - 9:00 PM; Wed 4:00 PM - 10:00 PM Closed now; Thu 4:00 PM - 10:00 PM; Fri 4:00 PM - 11:00 PM; Sat 11:00 AM - 3:00 PM 5:00 PM - 11:00 PM; Sun 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM,https://www.yelp.com/biz/pig-and-khao-new-york-4
Pig and Khao,4.5,41,433 Amsterdam Ave,(646) 370-1430,https://www.pigandkhao.com/uwsmenu,N/A,N/A,Mon 4:00 PM - 9:00 PM; Tue 4:00 PM - 9:00 PM; Wed 4:00 PM - 10:00 PM Closed now; Thu 4:00 PM - 10:00 PM; Fri 4:00 PM - 11:00 PM; Sat 11:00 AM - 3:00 PM 5:00 PM - 11:00 PM; Sun 11:00 AM - 3:00 PM 5:00 PM - 9:00 PM,https://www.yelp.com/biz/9DivSn3HsXe_Sm5mEdX2hQ
Thai Villa,4.4,5.2000,5 E 19th St,(212) 802-9999,http://www.thaivillanyc.com,N/A,N/A,Mon 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM; Tue 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM; Wed 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM Open now; Thu 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM; Fri 11:30 AM - 3:15 PM 4:30 PM - 10:30 PM; Sat 11:30 AM - 3:15 PM 4:30 PM - 10:30 PM; Sun 11:30 AM - 3:15 PM 4:30 PM - 10:15 PM,https://www.yelp.com/biz/B3_K2kUVbYOU0VaLcj_LTw
Barbalu - Brooklyn,4.3,141,68 Bergen St,(347) 294-4287,https://www.barbalu.com/menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 10:30 PM; Sat 11:30 AM - 10:30 PM; Sun 11:30 AM - 10:00 PM,https://www.yelp.com/biz/barbalu-brooklyn-brooklyn
Barbalu - Brooklyn,4.3,141,68 Bergen St,(347) 294-4287,https://www.barbalu.com/menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 10:30 PM; Sat 11:30 AM - 10:30 PM; Sun 11:30 AM - 10:00 PM,https://www.yelp.com/biz/ZFaIpks0AmQKdFvqYbj0QQ
Mountain House,4.6,51,353 W 46th St,(646) 476-6666,https://www.szechuanmountainhouse.com/menu,N/A,N/A,Mon 12:00 PM - 10:00 PM; Tue 12:00 PM - 10:00 PM; Wed 12:00 PM - 10:00 PM Open now; Thu 12:00 PM - 10:00 PM; Fri 12:00 PM - 11:00 PM; Sat 12:00 PM - 11:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/mountain-house-new-york
Mountain House,4.6,51,353 W 46th St,(646) 476-6666,https://www.szechuanmountainhouse.com/menu,N/A,N/A,Mon 12:00 PM - 10:00 PM; Tue 12:00 PM - 10:00 PM; Wed 12:00 PM - 10:00 PM Open now; Thu 12:00 PM - 10:00 PM; Fri 12:00 PM - 11:00 PM; Sat 12:00 PM - 11:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/fupW5th9P2e1lKFosY5Z8Q
Botte Brooklyn,4.3,131,327 Gold St,(718) 586-5090,https://botterestaurants.com,N/A,N/A,Mon 12:00 PM - 10:00 PM; Tue 12:00 PM - 10:00 PM; Wed 12:00 PM - 10:00 PM Open now; Thu 12:00 PM - 10:00 PM; Fri 12:00 PM - 10:00 PM; Sat 12:00 PM - 10:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/botte-brooklyn-brooklyn
Botte Brooklyn,4.3,131,327 Gold St,(718) 586-5090,https://botterestaurants.com,N/A,N/A,Mon 12:00 PM - 10:00 PM; Tue 12:00 PM - 10:00 PM; Wed 12:00 PM - 10:00 PM Open now; Thu 12:00 PM - 10:00 PM; Fri 12:00 PM - 10:00 PM; Sat 12:00 PM - 10:00 PM; Sun 12:00 PM - 10:00 PM,https://www.yelp.com/biz/ePJlqiIhoVKIJW69IE53rg
Yumpling,4.8,22,16 E 52nd St,(646) 419-6400,https://www.yumpling.com,N/A,N/A,Mon 11:00 AM - 3:00 PM; Tue 11:00 AM - 3:00 PM; Wed 11:00 AM - 3:00 PM Open now; Thu 11:00 AM - 3:00 PM; Fri 11:00 AM - 3:00 PM; Sat Closed; Sun Closed,https://www.yelp.com/biz/yumpling-new-york-7
Yumpling,4.8,22,16 E 52nd St,(646) 419-6400,https://www.yumpling.com,N/A,N/A,Mon 11:00 AM - 3:00 PM; Tue 11:00 AM - 3:00 PM; Wed 11:00 AM - 3:00 PM Open now; Thu 11:00 AM - 3:00 PM; Fri 11:00 AM - 3:00 PM; Sat Closed; Sun Closed,https://www.yelp.com/biz/ycaOcLWT4u4IMHljEoGdFw
Shu Jiao Fu Zhou,4.5,1.6000,295 Grand St,(212) 625-2532,https://shujiao-fuzhou.site/our-menu/,N/A,N/A,Mon 8:30 AM - 8:00 PM; Tue 8:30 AM - 8:00 PM; Wed 8:30 AM - 8:00 PM Open now; Thu 8:30 AM - 8:00 PM; Fri 8:30 AM - 8:00 PM; Sat 8:30 AM - 8:00 PM; Sun 8:30 AM - 8:00 PM,https://www.yelp.com/biz/shu-jiao-fu-zhou-new-york-2
Shu Jiao Fu Zhou,4.5,1.6000,295 Grand St,(212) 625-2532,https://shujiao-fuzhou.site/our-menu/,N/A,N/A,Mon 8:30 AM - 8:00 PM; Tue 8:30 AM - 8:00 PM; Wed 8:30 AM - 8:00 PM Open now; Thu 8:30 AM - 8:00 PM; Fri 8:30 AM - 8:00 PM; Sat 8:30 AM - 8:00 PM; Sun 8:30 AM - 8:00 PM,https://www.yelp.com/biz/lynQoI3w_pzYfHGeuUU-Qg
Sukh,4.6,144,723 Fulton St,(347) 494-1999,https://www.sukhnyc.com/menu,N/A,N/A,Mon 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM; Tue 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM; Wed 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM Open now; Thu 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM; Fri 12:00 PM - 4:00 PM 5:00 PM - 10:30 PM; Sat 12:00 PM - 4:00 PM 5:00 PM - 10:30 PM; Sun 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM,https://www.yelp.com/biz/sukh-brooklyn
Sukh,4.6,144,723 Fulton St,(347) 494-1999,https://www.sukhnyc.com/menu,N/A,N/A,Mon 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM; Tue 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM; Wed 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM Open now; Thu 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM; Fri 12:00 PM - 4:00 PM 5:00 PM - 10:30 PM; Sat 12:00 PM - 4:00 PM 5:00 PM - 10:30 PM; Sun 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM,https://www.yelp.com/biz/VxMNQC96sgocGQ9sSchBgw
Maison Passerelle,4.7,21,1 Wall St,N/A,https://maisonpasserellenyc.com,N/A,N/A,Mon Closed; Tue 5:00 PM - 10:30 PM; Wed 5:00 PM - 10:30 PM Closed now; Thu 5:00 PM - 10:30 PM; Fri 5:00 PM - 10:30 PM; Sat 5:00 PM - 10:30 PM; Sun Closed,https://www.yelp.com/biz/maison-passerelle-new-york
Sanku Maots’ai,5,1,167 1st Ave,N/A,https://www.sankuusa.com/menu,N/A,N/A,Mon 11:30 AM - 10:00 PM; Tue 11:30 AM - 10:00 PM; Wed 11:30 AM - 10:00 PM Open now; Thu 11:30 AM - 10:00 PM; Fri 11:30 AM - 11:00 PM; Sat 11:30 AM - 11:00 PM; Sun 11:30 AM - 10:00 PM,https://www.yelp.com/biz/sanku-maots-ai-new-york
