"name","rating","reviewCount","categories","address","phone","priceRange","url"
"Super Service Cooling, Heating & Plumbing","4.7","465","Verified License, Verified License, Verified License, Verified License, Verified License","N/A","N/A","N/A","https://www.yelp.com/biz/super-service-cooling-heating-and-plumbing-las-vegas-8?override_cta=Get+pricing+&+availability"
"Super Service Cooling, Heating & Plumbing","4.7","963","Plumbing","6625 S Valley View Blvd","N/A","N/A","https://www.yelp.com/biz/super-service-cooling-heating-and-plumbing-las-vegas-8?override_cta=Get+pricing+&+availability"
"American Brothers Plumbing Company","4.5","50","Plumbing, Water Heater Installation/Repair","Eastside","N/A","N/A","https://www.yelp.com/biz/american-brothers-plumbing-company-las-vegas-3?override_cta=Get+pricing+&+availability"
"Frontier Homes Services","N/A","56","Mobile Home Repair, Water Heater Installation/Repair, Plumbing","Southeast","N/A","N/A","https://www.yelp.com/biz/frontier-homes-services-las-vegas?override_cta=Get+pricing+&+availability"
"CG Plumbing Solutions","5","57","Water Heater Installation/Repair, Plumbing","Westside","N/A","N/A","https://www.yelp.com/biz/cg-plumbing-solutions-las-vegas?override_cta=Get+pricing+&+availability"
"Pure Plumbing & Air","4.6","329","Plumbing","2950 East Sunset Rd","N/A","N/A","https://www.yelp.com/biz/pure-plumbing-and-air-las-vegas?override_cta=Get+pricing+&+availability"
"Hands On Handyman Services","N/A","60","Plumbing, Junk Removal & Hauling, Handyman","N/A","N/A","N/A","https://www.yelp.com/biz/hands-on-handyman-services-las-vegas?override_cta=Get+pricing+&+availability"
"Rooter Ranger","3.8","226","Plumbing, Hydro-jetting, Septic Services","N/A","N/A","N/A","https://www.yelp.com/biz/rooter-ranger-las-vegas?override_cta=Get+pricing+&+availability"
"Arturo The Handyman Repairs","4.8","129","Plumbing","N/A","N/A","N/A","https://www.yelp.com/biz/arturo-the-handyman-repairs-las-vegas?override_cta=Get+pricing+&+availability"
"Hips Plumbing","4.8","367","Water Heater Installation/Repair, Plumbing","Westside","N/A","N/A","https://www.yelp.com/biz/hips-plumbing-las-vegas?override_cta=Get+pricing+&+availability"
"Pipe Dreams Plumbing","5","106","Plumbing, Water Heater Installation/Repair","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/pipe-dreams-plumbing-las-vegas?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Arturo The Handyman Repairs","4.8","129","Plumbing","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/arturo-the-handyman-repairs-las-vegas?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"702 PlumbAIR","4.7","1080","Plumbing, Water Heater Installation/Repair, Heating & Air Conditioning/HVAC","Serving Henderson and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/702-plumbair-henderson?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Leeâ€™s Air, Plumbing, and Heating","4.7","1092","Plumbing, Hydro-jetting, Water Heater Installation/Repair","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/lees-air-plumbing-and-heating-las-vegas-2?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Impact Plumbing","4.9","976","Plumbing, Water Heater Installation/Repair","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/impact-plumbing-las-vegas?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Resolution Plumbing","4.9","64","Plumbing, Water Heater Installation/Repair, Water Purification Services","Serving North Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/resolution-plumbing-north-las-vegas-2?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Zoom Drain Las Vegas","5","251","Plumbing, Septic Services, Hydro-jetting","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/zoom-drain-las-vegas-las-vegas?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Pure Plumbing & Air","4.6","329","Plumbing, Heating & Air Conditioning/HVAC, Water Heater Installation/Repair","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/pure-plumbing-and-air-las-vegas?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Plumbing Kings","4.7","54","Plumbing","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/plumbing-kings-las-vegas?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Hips Plumbing","4.8","367","Plumbing, Water Heater Installation/Repair","Serving Las Vegas and the Surrounding Area","N/A","N/A","https://www.yelp.com/biz/hips-plumbing-las-vegas?osq=Plumbers&override_cta=Get+pricing+%26+availability"
"Vegas Valley Plumbing","4.4","301","Water Heater Installation/Repair, Plumbing, Water Purification Services","6255 Mcleod Dr","N/A","N/A","https://www.yelp.com/biz/vegas-valley-plumbing-las-vegas?override_cta=Get+pricing+&+availability"